Nodes:
|Ватутина улица|Ватутіна вулиця|4002404468,4002404469,4002404993,4002404994,4002405363,4002405402,4002405438,4002405761,4002405762,4002407281,4002407282,4002408378,4002408379,4002409652,4002409653,4002411383,4002411384,4002411993,4002411994,4002412778,4002413338,4002413339,4002413624,4002413625,4002413656,4002414319,4002414320,4002415422,4002415423,4002416107,4002416447,4002416473,4002417310,4002417850,4002418260,4002419274,4002419779,4002420181,4002420774,4002421851,4002421856,4002422233,4002422234,4002423146,4002423327,4002424001,4002424159,4002424711,4002424859,4002425912,4002426543,4002426549,4002426557,4002427793,4002428120,4002428496,4002428497,4002429193,4002429513,4002429633,4002430043,4002430350,4002430458,4002430571,4002430871,4002431464,4002431558,4002431790,4002431791,4002432792,4002432880,4002433058,4002433337,4002433415,4002434490,4002434565,4002435028,4002435499,4002435561,4002435671,4002435672,4002436846,4002437396,4002437452,4002437903,4002437954,4002438502,4002438548,4002439292,4002439333,4002439377,4002439764,4002439765,4002440437,4002440478,4002440518,4002440552,4002440592,4002440624,4002440660,4002440989,4002441026,4002441054,4002441136,4002441137,4002441600,4002441631,4002441660,4002441687,4002441718,4002441743,4002441769,4002441796,4002441823,4002441847,4002441923,4002441924,4002442973,4002443596,4002443627,4002443646,4002443671,4002443690,4002443736,4002443778|118414630,163098568,163098571,284210133
|Велика перспективна|Велика Перспективна вулиця|1821064627|80924164,252111732,252111737,317246096
|Верховного Совета|Верховної Ради бульвар|3991629895|5180434,5180435,22674949
|Вечірній бульвар, 20|Вечірній бульвар|3721207787,3721211039|38722388
|Винниченко улица|Винниченка вулиця|4002404474,4002405001,4002405767,4002407489,4002408384,4002409609,4002409660,4002412000,4002414048,4002414073,4002414326,4002419782,4002420776,4002422239,4002423329,4002424161,4002424860,4002425894,4002426559,4002428122,4002428503,4002429515,4002430045,4002430460,4002430873,4002431560,4002431796,4002432881,4002435678,4002439770,4002441143,4002441930|315612199
|Виноградова улица|Виноградова вулиця|4002406863|27259789
|Височиненка вулиця|Михайлика вулиця|3166654665,3166659361|34439168
|Військових будівельників|Військових будівельників вулиця|3027072141|180099921
|Владимирская улица|Володимирська вулиця|4002404482,4002405006,4002405345,4002405365,4002405387,4002405404,4002405424,4002405439,4002405458,4002405473,4002405691,4002405706,4002406582,4002406814,4002406828,4002406846,4002406864,4002406881,4002407195,4002407211,4002407227,4002407494,4002408099,4002408115,4002408129,4002408145,4002408160,4002408174,4002408289,4002408303,4002408318,4002408331,4002408589,4002409082,4002409296,4002409311,4002409322,4002409336,4002409348,4002409363,4002409374,4002409387,4002409598,4002411129,4002411140,4002411153,4002411162,4002411163,4002411164,4002411167,4002411179,4002411290,4002411303,4002411314,4002411324,4002411335,4002411344,4002411345,4002411390,4002411763,4002411774,4002411786,4002411797,4002411807,4002411818,4002411827,4002411838,4002411848,4002411859,4002412004,4002412547,4002412559,4002412568,4002412579,4002412587,4002412698,4002412706,4002412717,4002412724,4002412734,4002412786,4002413234,4002413244,4002413251,4002413260,4002413267,4002413276,4002413283,4002413291,4002413298,4002413305,4002413563,4002413570,4002413583,4002413595,4002413607,4002413619,4002413665,4002413997,4002414007,4002414025,4002414034,4002414331,4002415645,4002415653,4002415661,4002415667,4002415673,4002416115,4002416428,4002417317,4002418266,4002419280,4002419784,4002420187,4002420779,4002422245,4002423153,4002423331,4002424006,4002424163,4002424715,4002424862,4002425915,4002426561,4002427797,4002428508,4002429195,4002429518,4002429635,4002430048,4002430353,4002430463,4002430573,4002430876,4002431466,4002431562,4002431803,4002432793,4002432884,4002433059,4002433340,4002433416,4002434493,4002434566,4002435501,4002435564,4002435682,4002436847,4002437399,4002437453,4002437905,4002437955,4002438504,4002438549,4002439334,4002439379,4002440438,4002440480,4002440519,4002440554,4002440593,4002440626,4002440661,4002440990,4002441056,4002441147,4002441601,4002441633,4002441661,4002441689,4002441719,4002441745,4002441770,4002441798,4002441824,4002441849,4002441871,4002441934,4002442974,4002443598,4002443628,4002443648,4002443672,4002443692,4002443718,4002443738,4002443761,4002443780|29142818
|Водопьянова улица|Водоп’янова вулиця|3431046969|117960888
|вокзальна вулиця|Вокзальна вулиця|1711466975|34777684,34777742,156319697,310244992,310244993,310244995
|Воровского улица|Воровського вулиця|4002404487,4002405011,4002405776,4002407498,4002408591,4002409666,4002411393,4002412007,4002412789,4002413347,4002414335,4002415431,4002416482,4002417858,4002418268,4002419283,4002419786,4002420190,4002420781,4002422248,4002423333,4002424009,4002424165,4002424718,4002424864,4002425917,4002428126,4002428513,4002429520,4002430050,4002430465,4002431806,4002435688,4002439777,4002441153,4002441937|305982386,305982387
|Воронова улица|Воронова вулиця; Корольова вулиця|3430956817|122392632,182368536
