ref:

int_ref:
|AH26|4705367,23977308,30265744,31373703,42132865,53828047,54233891,59585038,114100851,116440393,151346556,200255595,218209300,237010790,307961716,332238001,575716483,576996540,578709640,682344462,732911075,793338659,907626153,908288540,908288541,923021103
|AH4|182735203,218879114,292023261
|AH42|259371707
|AH45|28544643,785674568
|AH47|905770071
|AH5|166136904
|AH6|384953999,549720023
|AH61|231191938
|AH70|228843886
|AH72|27092089,845142716
|AH75|25978517
|AH76|79868830,355578843,415344184,416211518,430859938,580139929,741588035
|AH78|845349249
|AH8|513288995
|E 06|224742780,241947708
|E 101|616497322,616497327,778358096,778358097
|E 105|24203959,24203960,810710584
|E 20|386801138
|E 22|925508882,925508883
|E 28|894675326
|E 30|148749604,172233539
|E 36|142654553,142654555,142654556,208458861
|E 40|220707791,542937700,853018661,857283832,860215528,891891417,908396461,914267201,914267202,914267203,914267204
|E 40;AH70|190835752
|E 461|920156121,920156122
|E 50|4422339,8752433,23101262,23101263,23120217,23122179,23181844,23181852,23195168,23195169,23195180,23195181,23224610,23224670,23224803,23224804,23224813,23224820,23250597,23250598,23250599,23250601,23250606,23250611,23250618,23251069,23251113,23251215,23251234,23251290,23251294,23251320,23251381,23251408,23251429,23251448,23251458,23297511,23297514,23297515,23297516,24240575,27660668,28089138,28506870,28507139,30394243,30394248,30395085,30412685,30412691,30413173,30572681,30574653,31773501,31773502,31773503,31993931,31993932,31998978,32284511,32284697,32284700,32874723,32874784,32878313,32878317,33792268,33792898,33792899,33792900,33792901,33792902,33792903,33792904,33792905,34125494,34126057,34126059,34756694,34756695,34786656,35285862,35868206,37064494,37064573,37064603,37297019,37743216,37752640,37752644,38151740,38268902,38269462,38588160,38723154,38723156,38723157,38723158,38723159,38723162,38776217,39363035,39363039,39363041,39363042,39363043,39363044,39364954,39364955,39364959,39486982,39486983,39498819,39498820,39523497,39524052,39524054,40322159,40322160,40750363,40750509,42038928,42282680,47575066,47575067,48232471,48232472,52472354,52472364,52472370,52715263,52715266,52715269,52715272,54444275,54445076,54445078,54445080,54445081,56757455,56757464,56757471,56757473,58836673,59836363,61962258,64744975,64776657,64776674,66149025,66149046,66149129,66149306,66755264,66757840,67110449,67549699,67549701,67549703,67549705,67550995,67550996,67550997,67550998,67553345,67567401,67567405,67583123,69281340,69715603,69715607,70255795,70255799,70993858,70993859,70994572,70994588,72098489,72098493,72098499,72098504,72098893,72098895,72098896,72098898,74866342,74866343,74866344,74866346,74866347,74866348,74866350,77606415,77606417,77606419,80003159,84727670,84984434,86495168,88478698,88482973,88482975,89116404,89116451,90344746,93227695,104027796,104027807,104027814,104027825,104715012,104715026,104715028,104715036,104894217,104894262,105196862,105196864,105199451,105199452,105199453,105199458,105199460,105199461,105199462,107681792,107681794,107681839,107906690,111995793,111995803,112474442,112474443,112474478,112474490,112474499,113551872,114929270,115086521,115513956,119135112,120277334,120277335,120286589,121141577,121141592,123299772,123299773,123299782,123299802,123299839,124197824,124890341,124890343,125089133,125089134,125089135,125089137,125121720,125121722,125123424,127098148,130386247,130386249,130532115,130532122,131407499,131475379,131475380,131475381,131475382,131664415,131664416,132304494,132304495,133382095,133382099,133614906,133614907,133619191,133619192,133835836,133835838,133845547,136085737,136085738,136085739,138494753,138982558,142142682,143871556,143871557,143871559,146602897,146614773,146614774,146614779,148812979,148812982,152474952,152474953,153135432,160051470,160108354,160264974,160264990,160264993,161548648,161548650,161849145,161849146,161849147,162269722,162269728,162269730,162269735,163786420,166637057,166637061,166638300,168673612,168673616,168674309,168675287,168679018,168679019,168680160,168680278,172802494,172927272,172927273,173518508,173518509,175559989,175560007,176833531,178559725,178559726,181600807,181600809,182422633,182422634,182430143,182430144,182430145,182430146,182430147,182430148,182430149,182430150,182430151,182430154,182438367,182440024,182440026,182440027,182440028,182440029,182440030,182440033,182440035,182440036,182441255,182446325,182623410,182623411,184386263,184386264,184394087,184394089,184394090,184394091,184798772,186872603,186872604,186889286,186889290,186889294,194108976,194108980,195796296,195796297,195796298,195796299,195796300,195796301,195796302,202588825,203083600,203083601,203155763,203155764,203155765,203155766,209342734,209342736,209342743,209342746,209342751,209342753,209342754,209342765,214661190,214661199,217538651,217538652,217538653,217538654,217538655,217538656,217538657,219844650,219844651,219844652,219844653,219949611,219949612,221227840,223284379,223284380,226518918,226518919,226638937,226638941,227554440,227554441,227557235,227557236,227920827,227920828,227920829,227920832,227928015,227928016,227928017,228050437,229063116,229066555,229067901,229068973,229982366,230036334,230036335,230514848,231063570,231063571,231315478,231315479,231629718,231689427,231745762,231745763,231745765,232209670,232209671,232637424,232721377,233093833,233093834,233133803,233133813,233365972,233365973,233365974,233367072,233654795,235261977,235523869,235523872,235523873,235523875,237069996,237069997,240493023,240493026,242028523,243690393,243690394,244605215,244605230,244605234,245493112,245843349,245843350,247412532,247412533,249341697,249341699,249341700,250796402,250948397,250948398,252676651,253042803,256880284,257933127,264749489,264749490,265429955,269654185,269654186,269654187,269654188,273997305,273997306,278483225,278483227,278483230,278483234,278483239,278483243,278483248,278491158,278491159,278491160,278491161,278683315,278683317,278683319,278683320,278683324,278930980,278930981,279187494,279187495,279187496,279187497,280730254,281819992,283463056,283463061,285402590,286881093,286881094,288911987,289253735,290602619,292698694,292705289,292705290,292709889,292712167,292712346,292712974,292731300,292731327,292735589,292735590,295430761,295430762,295430763,296902222,296902223,296927512,296927514,296936231,296942108,296942109,296942110,297005528,297005530,297005533,297005539,297027387,297041583,297041584,297137530,297137531,297137532,297137533,297137534,297139997,297251708,297251709,297368829,297368831,297390716,297391137,297391961,297479221,298875676,298875677,298875679,298875680,298875681,298875683,300655175,300655176,300656188,300656190,300657283,300659561,300788683,300788684,302566325,302566326,306374828,306374829,306455709,306455710,306931292,306931293,306931294,306931295,307494766,309808811,309808812,313730818,313730819,322475026,322475027,322475028,322475029,322475030,322475031,323133671,323133674,323268662,326282633,326719764,326719768,326719773,327394842,328451421,328451422,330109795,330109796,333222505,333222506,333687988,333687990,334311829,335987137,335987138,336886710,336886712,337369563,341824284,341824285,343556059,351667847,351667848,351667849,351667850,351667851,351667852,358086068,358481543,358481545,359954699,359954709,360117815,360117817,361790243,361790244,361790245,361790246,361790247,362253190,362253191,363340041,363988535,363988536,363988537,363988538,363988540,370327535,370327536,370327537,370327538,370327539,371645492,371645493,371645494,371645495,371645496,371645497,371645498,371645499,371645500,374104447,374104448,375499017,375499020,375512099,375512100,375512101,376728937,387822303,387822304,399113931,399113933,405894550,405894551,405894552,405894553,406084496,406084497,406084498,406084499,406084500,406084501,406085416,406086933,406086934,406086935,406086936,411025246,411025247,420884394,420884395,420884396,420884397,422281903,422281904,425627772,425627773,427242354,427242355,427242356,435431349,435431883,435431884,435431885,435431886,435677805,439237483,449510069,449510070,461880246,473610428,481568276,481568277,481568278,481568279,486474308,486474309,486474310,486474644,486474645,486474646,486474647,486474648,486474649,486474650,486474870,486474871,486474872,486474873,486474874,486474875,486474876,486474960,486474961,486474962,486474963,486474964,486474965,486474966,486475095,486475096,486475097,486475450,486475451,486475452,486476052,486476053,486476054,486476055,486476056,486476057,486476058,486604894,486604895,486604896,486641925,486654853,486662865,486662868,486667101,486667104,486772238,486772239,486772240,486772241,486772242,486775848,486775850,486830427,486830428,486869226,486869227,486875576,486875577,486875578,486875579,486875580,486875581,486878586,486878587,501732558,504235057,510737025,533364816,539032076,539032077,541772347,551651182,554243098,554991371,554992960,554992996,554992997,554997596,555004131,555004132,555004142,557157414,557734068,557792811,557792814,557792817,557792820,558583798,558583800,559531098,560513470,560513476,560645545,560647669,561028384,561028397,561070381,561181497,562178903,579014639,579014642,579526621,579526623,591096692,591096694,591096696,591096698,591096700,591096702,591096704,591096706,591096708,591096710,591096712,591096714,591096716,591096718,591096720,591096722,591096724,591096726,591096728,591096730,591096732,591096734,591096736,591096738,591096739,591099959,591103895,591201819,591201820,591201821,591618607,591653583,595491954,595491955,601276375,601276382,607496833,607496834,607893472,607893479,607893480,608148279,608148280,610258632,610265856,610274820,610274821,610909076,610909078,611669985,611669986,611669987,611669989,611669990,611669994,611669995,611669996,611669997,611669998,611670000,611670002,611670003,611670004,611670006,611670008,611670010,611670011,611670019,611670020,611670024,611859812,611863907,611948020,619357283,619357284,621320840,623146550,623146551,629986929,629986931,630031533,630031534,633128538,633128539,633130379,633130380,633130387,633130388,633133231,633133232,674688488,674688489,674688491,674688492,674688493,674688494,674781255,674781256,674781259,674781260,674784430,674784432,674794796,674986286,674986287,674986293,674986294,675036900,675047265,675047266,675192300,675192301,675192302,675309780,675309781,675309784,675309786,675309787,675309788,676386785,676386787,676386791,676386795,676388268,676388272,676388273,676395353,676395355,677326479,677326480,677329800,677503319,677503327,677503329,677511349,677516729,677938336,677999662,678010318,678010332,678012092,678012093,678102381,678102382,678291554,678296032,678296033,678296036,678296037,678296039,678479442,682385443,687738576,687738577,690262067,690262071,691087648,699717469,699717470,700002327,700002328,704961634,704961636,721127165,721834897,725777395,736730963,736730964,736730965,738681773,741602847,744685462,744775453,744775456,750639824,751832923,755039749,755039750,755162826,755162827,756551841,756551842,766209831,766209832,768221992,768221993,768221994,772154193,772154194,781039718,790277640,790277641,790281943,790281945,803369825,803561503,803561504,803565270,803565271,808403689,808403690,808403691,814910001,814922090,814922091,815115838,828479430,828870436,829270517,829602171,829602172,829602175,834243833,835404442,835404445,835404446,835404447,837280834,837280835,837280836,838019486,838019487,838019489,838019490,838019491,838019492,838019493,838019494,838019495,838019496,838019497,838022381,843173839,843173840,843199957,843199958,843199959,843292933,843676214,852157910,852157911,852157912,852157914,856871090,857343449,857343450,857343451,867665395,871134270,874622781,874622782,878737784,885708820,886981521,888355269,889557514,889557515,890897660,890897661,890897664,890897665,892272367,892315883,893305421,893305422,893305423,893305424,893305425,893305426,893305427,893305428,893305429,893305430,893305431,893305432,893305433,893305434,893305435,893305436,893305437,893305438,893305439,893305440,893305441,893305442,893305443,893305444,893305445,893305446,893305447,893305448,893305449,893305450,893320689,893322354,893322355,895033200,907380451,907380452,907380453,907380454,907380461,907380462,907380463,907380464,907380465,907380466,907380467,907380468,907380469,907380470,907380471,907380472,907754289,907754290,907754291,907754292,908012630,908012633,908023569,908033310,908033311,908033312,908033313,908033314,908033315,908033316,908033317,908039163,908039164,908072819,908072820,908072821,908575473,910870214,911044701,911044702,911044703,911044704,911044706,911044707,911044708,911044709,911046701,911046702,911635777,911635778,911635779,911635784,911635796,911645357,911645358,911645359,911645360,911645361,911645362,911645364,911645365,911645367,911645368,911661228,911661229,911661231,911661232,911661233,911661234,911661235,912277338,917379162,917379163,927124107,927124108,927124109
|E 50;E 583|829270518,829273072
|E 50; E 95|23106518,23113410,23113420,23113437
|E 53|272121844,305579050,305579062
|E 533|58301751
|E 57|4612793,8060646,35130353,39434577
|E 58|894936271,894936276,894936277,894936285,894936288,894936298,894936303,894936344,894936345
|E 583|527339536,800846681,804878471
|E 62|466070866
|E 65|927073750
|E 71|925277193
|E 77|100952265
|E 80|58811845,609289009
|E 803|35020047
|E 81;E 471|23252997
|E 840|24401271,309697533
|E 85|487781673,702823207,856030333,923738225,923782830,923782833
|E 881|242537689
|E 94|69262062
|E 95|125664165,125664290,125664595,125664596,209342752,209342756,232874112,871133221,920666000
|E 952|83281745,195247070
|E 95; E 584|4423871,30071347,30071348,30071349,30071350,30071352,30071353,32839983
|M51|150204851
|MEX129|845414252
|TAH 1|97039211,141131874,369914439,674645181
|TAH 2|778302705
|TAH 3|157948447
|TAH 7|38896417,689030414

nat_ref:
Н-01|Н-01;Н-02|526913844,526913845
Н-01;Н-02|Н-01|136333165,494402255
Н-02;Н-02|Н-02|561120276
Н-08|М-04|37743216,38776217,40750509,54444275,64776657,136085738,160264990,160264993,290602619,376728937,843199957,843199958,843199959
Н-09|Н-10;Н-09|285189475
Н-09;Н-09|Н-09|35961681
Н-09;Н-10|Н-10;Н-09|48227877,48227878,286221302,286221303,286223398,286319745,286319746,286319747,286319749,286435276,286435279,286435281,286435284,286435285,286435286,292217418,292217419,292217420,295338949,295338950,295349814,436673151,671104004,671104005,878050964
Н-10|C091505|179484711
Н-11|М-04|52472354,107681839,309808811,309808812
Н-11|М-14|231447869
Н-11;Н-23|Н-23|30413614,30413615,112449666,805236848
Н-14|H-14|26170724,153686435,153686449,351020632,361062467,361062468,361062469,361062470,528119930,675891964,675891965,904250191
Н-14|Н-14-01|34756818,114883311,153686669,203325706,203325707,290911559,290911560
Н-20|М-04;Н-20|47575066,47575067,124890341,124890343,217538651,217538656,229066555,231689427,231745763,361790243
Н-20;Н-32|Н-20|124097956,124097957,124097962,769640062
Н-22;Н-22|Н-22|173467492,701081676,701081677,701081678,750012322,750012325,753530155,753530156
Н-30|М-14|38348519,231447868,236764140,236764141
Н-32|М-03|296922343,296922344
Н-32;Н-32|М-03|124097959
|02A902610CD_2|28244423
|105|818991019
|117|31806376,904567818,904567821
|119|848896472
|121|848622492
|132|778037617
|136|847212699,847293897,850613883
|14|920238363
|15D|475972584
|187|672187612
|190|253476290
|199|45000060,159992151
|211|554739508,911314474
|281|467531574
|282|678253839
|30|152690319
|307|26222764,52705249
|37|753144085,753144086,754942702
|44|914949346
|54|219484602
|57|908936714,908936715
|60A900110CD_1|25408321
|62A902610CD_1|108153606
|62A902620CD_2|101346464
|76A902910CD_5|125301590
|76A913101_1|36100190
|76A915101_1|389277095
|76A915101CD_1|220600763
|76N933806_2|32058752,32058753
|76N933811_2|505611516
|76N933811_3|176719163
|78N901007_5|76738811
|8|609289009
|80|851052235,851088127,851187250,851595482
|80A902920CD_2|141214095
|95A901504_4|28353888
|A23|319986291
|A4|141479828,141479829,141479893,141479894
|A-43|86056282,86056314
|A-5|23733837,909084300,909084301
|A57|34375414
|A-66|35020047
|A-7|62830645
|A8|466070866
|AC-542|25605133
|BR-477|522966376
|BR-480|889414643
|DN17|32533777,917739377,917739379
|DN2B|33512750
|DN73|703032513
|H-14|138105193
|I-430|123936363
|M17|904774104
|MEX 200|86676661,389652074,899909544
|MEX 49|853991677,907804633
|MEX 80|825823441
|N 2|369914439
|N206|40747149
|N-611|9057664
|N-623|4471284,195291817,240673601,240673602,278825521,278825523,299414679,299414680,403117678
|N-629A|231124469
|NL 28|778171432
|N-VIa|25604218
|S 2|30529198
|SS12|138707926
|SS16|234556002
|SS239|159479818
|SS27|83164170,83164176,205120708,205120714
|SS347|175479714
|SS43|48253953
|SS48|491904789,491904790
|SS49|310656073,627556833
|SS50|134429750,924865377
|SS52|417699855
|SS64|34576924
|SS67|530365666,895191535
|SS716|55063827
|T12|173058166
|T20|133032169,304300687,304300690,584333887,697414577
|T4|114038787
|T8|11033946
|US 11|138231570
|US 113|914140429
|US 13|131947848,131947853,146910374
|US 136|78472497,664173974
|US 231|270229825
|US 24|22075503,193424928
|US 29|51037703
|US 31|52120225,922748311
|US 62|42342417,121481654
|US 68|573118489,573118496
|US 80|927665071
|ΕΟ1Β|369070108
|Χ20|27456260
